,season,full_name,driving_distance,driving_accuracy,greens_in_regulation,proximity,scrambling_rough,scrambling_sand,putting_conversion,putting_rating,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total,str_diff_to_field,scoring_avg
144,2004,spike_mcroy,281.5,,,,,,,,,,,,,,,
145,2004,david_peoples,281.3,,,,,,,,,,,,,,,
146,2004,skip_kendall,281.3,,,,,,,,,,,,,,,
147,2004,jeff_maggert,281.2,,,,,,,,,,,,,,,
148,2004,guy_boros,281.1,,,,,,,,,,,,,,,
149,2004,hidemichi_tanaka,281.0,,,,,,,,,,,,,,,
150,2004,blaine_mccallister,280.9,,,,,,,,,,,,,,,
151,2004,j.p._hayes,280.7,,,,,,,,,,,,,,,
152,2004,dicky_pride,280.5,,,,,,,,,,,,,,,
153,2004,scott_hoch,280.4,,,,,,,,,,,,,,,
154,2004,russ_cochran,280.3,,,,,,,,,,,,,,,
155,2004,gene_sauers,280.2,,,,,,,,,,,,,,,
156,2004,shigeki_maruyama,280.1,,,,,,,,,,,,,,,
157,2004,todd_fischer,280.1,,,,,,,,,,,,,,,
158,2004,heath_slocum,280.1,,,,,,,,,,,,,,,
159,2004,kevin_na,280.1,,,,,,,,,,,,,,,
160,2004,steve_flesch,279.9,,,,,,,,,,,,,,,
161,2004,luke_donald,279.8,,,,,,,,,,,,,,,
162,2004,hirofumi_miyase,279.7,,,,,,,,,,,,,,,
163,2004,brian_gay,279.7,,,,,,,,,,,,,,,
164,2004,jeff_sluman,279.6,,,,,,,,,,,,,,,
165,2004,josé_coceres,279.4,,,,,,,,,,,,,,,
166,2004,kirk_triplett,279.1,,,,,,,,,,,,,,,
167,2004,tim_clark,278.8,,,,,,,,,,,,,,,
168,2004,scott_simpson,278.7,,,,,,,,,,,,,,,
169,2004,bob_tway,278.2,,,,,,,,,,,,,,,
170,2004,bob_estes,278.2,,,,,,,,,,,,,,,
171,2004,jerry_kelly,278.1,,,,,,,,,,,,,,,
172,2004,len_mattiace,278.0,,,,,,,,,,,,,,,
173,2004,scott_verplank,278.0,,,,,,,,,,,,,,,
174,2004,josé_maría_olazábal,277.7,,,,,,,,,,,,,,,
175,2004,chris_dimarco,277.3,,,,,,,,,,,,,,,
176,2004,chris_riley,277.3,,,,,,,,,,,,,,,
177,2004,robert_damron,277.2,,,,,,,,,,,,,,,
178,2004,craig_parry,276.9,,,,,,,,,,,,,,,
179,2004,bob_burns,276.1,,,,,,,,,,,,,,,
180,2004,pat_bates,275.5,,,,,,,,,,,,,,,
181,2004,esteban_toledo,275.2,,,,,,,,,,,,,,,
182,2004,jay_haas,274.5,,,,,,,,,,,,,,,
183,2004,mark_brooks,273.8,,,,,,,,,,,,,,,
184,2004,brad_faxon,273.7,,,,,,,,,,,,,,,
185,2004,david_frost,273.6,,,,,,,,,,,,,,,
186,2004,mark_o'meara,272.9,,,,,,,,,,,,,,,
187,2004,nick_price,272.8,,,,,,,,,,,,,,,
188,2004,david_morland_iv,272.8,,,,,,,,,,,,,,,
189,2004,tom_byrum,272.6,,,,,,,,,,,,,,,
