full_name,season,champion,top_10,made_cut,total_score,prior_score,prior_afs,sg_on_field,roll_5yr_majors,roll_3yr_majors,roll_1yr_majors,rolling_majors,driving_distance,driving_accuracy,greens_in_regulation,bob_distance,scrambling_rough,scrambling_sand,putting_rating,scoring_avg,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total
ben_curtis,2005,0,0,1,295,315,303,-12,1,1,0,6.0,280.0,0.6341,0.6188,17.751330779534374,0.5476,0.4026,1.639,72.393,-0.337,-0.26899999999999996,-0.251,-0.10099999999999999,-0.857,-0.958
ben_curtis,2006,0,0,0,315,295,302,7,1,0,0,1.0,278.8,0.6661,0.6525,17.841341737660876,0.5065,0.4615,1.639,71.192,-0.11800000000000001,0.065,-0.09,0.077,-0.14400000000000002,-0.067
ben_curtis,2007,0,0,0,315,315,305,-10,1,0,0,1.0,277.1,0.6737000000000001,0.6056,19.22736947181168,0.5138,0.4272,1.6380000000000001,71.582,-0.03,-0.5539999999999999,0.023,-0.188,-0.561,-0.7490000000000001
ben_curtis,2008,0,0,1,288,315,302,-13,0,0,0,0.0,284.7,0.672,0.6345000000000001,17.619854430127646,0.5786,0.5979,1.526,69.98100000000001,0.377,-0.17300000000000001,0.23600000000000002,0.321,0.44,0.7609999999999999
ben_curtis,2009,0,0,0,315,288,299,11,0,0,0,0.0,279.5,0.6475,0.6425,19.696023287286533,0.5760000000000001,0.5542,1.625,70.97800000000002,0.154,-0.642,-0.027999999999999997,0.7659999999999999,-0.515,0.251
ben_curtis,2012,0,0,0,315,315,297,-18,0,0,0,0.0,274.8,0.6970000000000001,0.6887000000000001,17.97825353030711,0.5437,0.3333,1.526,70.538,-0.044000000000000004,0.408,0.036000000000000004,0.505,0.401,0.9059999999999999
ben_martin,2014,0,0,0,315,315,304,-11,0,0,0,0.0,291.7,0.6434000000000001,0.6604000000000001,18.776448013402323,0.5636,0.5349,1.607,70.732,0.213,-0.09699999999999999,0.015,0.29100000000000004,0.13,0.42100000000000004
bernhard_langer,2004,0,0,1,289,285,303,18,0,0,0,0.0,282.2,0.6257,0.6525,18.107222929599732,0.6224000000000001,0.4483,1.608,71.24600000000002,0.028999999999999998,0.616,0.055,-0.22899999999999998,0.7,0.47100000000000003
bernhard_langer,2005,0,0,0,315,289,303,14,0,0,0,0.0,289.1,0.5755,0.6501,19.312050713939676,0.6038,0.5417000000000001,1.621,70.506,-0.218,0.39,0.17600000000000002,0.145,0.34700000000000003,0.4920000000000001
bernhard_langer,2006,0,0,0,315,315,302,-13,0,0,0,0.0,285.8,0.6241,0.6566,19.859657005821845,0.6124,0.5362,1.62,71.126,-0.22899999999999998,0.146,0.17300000000000001,0.3,0.09,0.39
bill_haas,2009,0,0,1,289,315,299,-16,0,0,0,0.0,298.3,0.6281,0.6737000000000001,19.888006750300544,0.5467,0.5670000000000001,1.5490000000000002,70.53,0.535,-0.126,0.011000000000000001,0.036000000000000004,0.42,0.455
bill_haas,2010,0,0,1,290,289,300,11,0,0,0,0.0,293.3,0.6417,0.6992,18.600926817559984,0.5526,0.4955,1.6380000000000001,70.308,0.46399999999999997,0.515,0.005,-0.066,0.985,0.9179999999999999
bill_haas,2011,0,0,1,292,290,299,9,0,0,0,0.0,296.6,0.6359,0.6944,19.990634091716274,0.6303,0.43,1.641,70.135,0.628,0.044000000000000004,0.08,0.165,0.752,0.9159999999999999
bill_haas,2012,0,0,1,289,292,297,5,0,0,0,0.0,292.2,0.6362,0.6517000000000001,20.390844503927077,0.5704,0.6027,1.63,70.484,0.47200000000000003,-0.18,0.273,0.10300000000000001,0.564,0.6679999999999999
bill_haas,2013,0,0,1,290,289,300,11,0,0,0,0.0,288.2,0.6231,0.6779000000000001,18.62324050227445,0.6358,0.527,1.626,70.023,0.365,0.34600000000000003,0.289,0.266,0.9990000000000001,1.265
bill_haas,2014,0,0,1,282,290,304,14,0,0,0,0.0,291.9,0.6294,0.6862,19.19106517728729,0.5758,0.5962,1.63,70.132,0.29600000000000004,0.382,0.265,0.147,0.943,1.09
bill_haas,2015,0,0,1,294,282,295,13,0,0,0,0.0,290.7,0.6335000000000001,0.688,18.503862941288773,0.6015999999999999,0.4928,1.643,70.672,0.14,0.42200000000000004,0.126,-0.22899999999999998,0.6890000000000001,0.46
bill_haas,2016,0,0,1,294,294,304,10,0,0,0,0.0,289.6,0.6234000000000001,0.6714,18.07771398865342,0.6382,0.5556,1.636,70.444,0.068,0.272,0.353,-0.174,0.693,0.519
billy_horschel,2013,0,0,1,295,315,300,-15,0,0,0,0.0,293.8,0.6417,0.6748000000000001,19.893620993926675,0.5294,0.5042,1.619,70.244,0.465,-0.121,-0.069,0.381,0.275,0.6559999999999999
billy_horschel,2014,0,0,0,315,295,304,9,0,0,0,0.0,291.6,0.6704000000000001,0.7043,19.366041584863613,0.5492,0.5333,1.659,70.521,0.473,0.132,-0.087,0.22,0.518,0.738
billy_horschel,2015,0,0,1,292,315,295,-20,0,0,0,0.0,295.0,0.6377,0.6933,20.35896930716288,0.5503,0.4697,1.6159999999999999,71.05,0.366,0.13699999999999998,-0.301,0.244,0.20199999999999999,0.446
billy_horschel,2017,0,0,0,315,292,299,7,0,0,0,0.0,300.1,0.6007,0.6789000000000001,18.73898491262415,0.4596,0.4842,1.662,70.832,0.22399999999999998,0.02,-0.324,0.084,-0.08,0.004
