,season,full_name,drive_distance,gir,proximity,scrambling,putting_conversion,made_cut,top_10,on_the_green_area,par_or_better_dist
33,2002,len_mattiace,276.9,0.6574,36.66666666666666,0.6470999999999999,0.2902,1,1,4223.696789826275,19.752411948361587
34,2002,loren_roberts,268.0,0.6823,33.75,0.6424,0.2864,1,0,3578.4703819796237,18.061769016350528
35,2002,mark_o'meara,275.0,0.6416,32.833333333333336,0.6,0.2713,1,1,3386.724147032397,17.10172319127845
36,2002,miguel_angel_jiménez,274.4,0.625,37.0,0.5926,0.2834,0,0,4300.840342764427,19.697070848225124
37,2002,mike_weir,280.0,0.6951,35.333333333333336,0.5735,0.3115,1,1,3922.103895081658,19.720305384157836
38,2002,nick_price,272.7,0.6443000000000001,32.25,0.6548999999999999,0.3068,1,0,3267.452709274234,17.863123327122835
39,2002,pat_perez,280.5,0.6181,37.333333333333336,0.6171,0.3392,1,0,4378.682027403374,21.743261535984484
40,2002,peter_lonard,281.4,0.6809999999999999,33.583333333333336,0.6457999999999999,0.2968,0,0,3543.2147310893383,18.295983013887078
41,2002,phil_mickelson,288.8,0.6765000000000001,34.583333333333336,0.6164000000000001,0.35840000000000005,1,1,3757.366630309043,20.703837540149145
42,2002,phil_tataurangi,288.6,0.6634,33.0,0.5835,0.3131,1,0,3421.194399759285,18.465261980269872
43,2002,retief_goosen,279.8,0.6889,33.75,0.6107,0.3274,1,0,3578.4703819796237,19.311371326241957
44,2002,rich_beem,292.1,0.6684,35.416666666666664,0.5820000000000001,0.3149,1,0,3940.6262017684467,19.87439944934745
45,2002,robert_allenby,286.7,0.6947,38.333333333333336,0.5949,0.3066,1,0,4616.395871525002,21.225731239857595
46,2002,rocco_mediate,277.3,0.6925,32.666666666666664,0.6107,0.3077,1,0,3352.4284272307073,18.12043291118865
47,2002,scott_hoch,270.0,0.6507,33.666666666666664,0.6265,0.3018,0,0,3560.820739918831,18.495230015691433
48,2002,scott_mccarron,285.5,0.6678000000000001,36.583333333333336,0.5694,0.3206,1,0,4204.519984669991,20.714050619218725
49,2002,scott_verplank,268.5,0.6858,32.5,0.6098,0.3121,1,1,3318.307240354219,18.156421040502448
50,2002,sergio_garcia,290.5,0.6454000000000001,35.25,0.5794,0.3178,1,0,3903.6252216261673,19.87174784713212
