season,full_name,drive_distance,gir,proximity,scrambling,putting_conversion
2003,jeff_maggert,278.2,65.23,34.166666666666664,57.2,30.17
2003,jeff_sluman,280.6,68.75,32.5,63.25,28.85
2003,jerry_kelly,283.5,68.23,36.833333333333336,61.46,30.98
2003,jesper_parnevik,281.0,64.5,36.833333333333336,56.34,29.02
2003,jim_carter,280.3,63.1,35.25,59.08,26.85
2003,jim_furyk,281.3,70.3,31.583333333333332,63.33,31.08
2003,joe_durant,286.7,72.86,32.416666666666664,54.58,28.59
2003,joel_edwards,281.1,64.35,33.666666666666664,55.06,26.26
2003,joey_sindelar,284.6,69.17,32.416666666666664,57.43,26.24
2003,john_daly,314.3,63.84,37.5,49.72,31.11
2003,john_huston,284.8,68.81,30.5,56.77,33.87
2003,john_maginnes,273.7,63.37,33.25,57.14,27.4
2003,john_morgan,291.0,62.45,35.916666666666664,57.12,29.38
2003,john_riegger,285.7,68.08,33.0,60.41,28.21
2003,john_rollins,283.6,61.84,34.916666666666664,57.02,33.19
2003,john_senden,291.8,69.97,37.0,59.69,29.16
2003,jonathan_byrd,295.3,63.75,36.666666666666664,58.12,32.44
2003,jonathan_kaye,295.9,67.49,33.75,58.64,29.59
2003,josé_coceres,282.8,60.48,34.666666666666664,54.2,28.87
2003,justin_leonard,279.1,65.04,33.666666666666664,60.81,33.03
2003,k.j._choi,294.7,66.67,35.166666666666664,57.53,29.33
2003,kaname_yokoo,282.7,60.06,36.666666666666664,49.34,27.15
2003,kenichi_kuboya,281.0,63.89,35.333333333333336,55.94,29.5
2003,kenneth_staton,293.9,65.79,36.75,52.42,24.85
2003,kenny_perry,295.1,68.81,32.833333333333336,61.78,29.32
2003,kent_jones,286.6,67.95,34.0,56.78,31.24
2003,kevin_sutherland,288.8,67.86,37.083333333333336,59.85,29.28
2003,kirk_triplett,281.8,68.91,32.916666666666664,62.45,30.22
2003,lee_janzen,285.2,64.65,34.25,56.58,29.2
2003,len_mattiace,278.7,61.47,36.666666666666664,59.22,27.49
2003,loren_roberts,265.9,63.2,34.416666666666664,61.63,28.65
2003,luke_donald,275.3,65.47,32.5,56.12,29.79
2003,marco_dawson,292.9,68.34,33.083333333333336,56.24,28.85
2003,mark_brooks,271.9,61.69,35.083333333333336,57.17,28.48
2003,mark_calcavecchia,287.6,64.02,32.583333333333336,61.03,33.75
2003,mark_o'meara,277.5,60.69,33.75,52.03,28.02
2003,mark_wilson,282.1,63.68,37.583333333333336,57.17,26.64
2003,mathew_goggin,299.8,67.84,37.833333333333336,54.67,27.41
2003,matt_gogel,278.1,63.5,36.333333333333336,60.47,30.37
2003,matt_kuchar,275.3,63.8,35.5,58.06,27.43
2003,michael_clark_ii,279.5,66.14,35.666666666666664,48.3,29.32
2003,mike_grob,287.6,66.94,35.916666666666664,51.87,27.34
2003,mike_heinen,300.8,69.86,35.416666666666664,54.24,31.32
2003,mike_sposa,288.5,64.95,35.166666666666664,61.31,29.62
2003,mike_weir,289.2,65.85,34.916666666666664,62.47,32.66
2003,neal_lancaster,294.6,66.98,34.25,61.11,28.66
2003,nick_price,280.1,63.17,33.416666666666664,62.04,29.63
2003,notah_begay_iii,277.9,63.52,36.583333333333336,58.88,28.02
2003,olin_browne,274.2,66.21,34.166666666666664,58.07,28.81
2003,pat_bates,278.0,68.12,33.25,62.7,27.48
2003,pat_perez,287.5,62.86,35.75,57.72,29.28
2003,patrick_sheehan,293.2,64.91,35.0,61.87,31.17
2003,paul_azinger,283.4,63.77,35.166666666666664,56.09,26.97
2003,paul_gow,286.5,64.85,36.666666666666664,60.62,28.49
2003,paul_goydos,270.9,64.46,33.666666666666664,62.15,32.22
2003,paul_stankowski,293.8,69.32,33.583333333333336,56.22,32.01
2003,per-ulrik_johansson,287.9,65.56,34.083333333333336,60.95,30.33
2003,peter_jacobsen,283.2,67.04,34.5,55.28,29.65
2003,peter_lonard,292.8,64.26,34.5,55.79,29.23
2003,phil_mickelson,306.0,64.84,36.916666666666664,55.8,34.2
2003,retief_goosen,299.4,69.79,33.416666666666664,58.05,32.88
2003,rich_beem,293.6,63.2,36.083333333333336,52.35,29.7
2003,richard_johnson,278.3,63.89,36.166666666666664,59.79,27.99
2003,robert_allenby,294.8,69.31,34.166666666666664,59.5,32.23
2003,robert_damron,275.2,63.31,35.5,61.83,26.9
2003,robert_gamez,287.7,66.67,33.083333333333336,58.85,33.65
2003,rocco_mediate,280.5,67.32,34.166666666666664,56.15,28.91
2003,rod_pampling,290.1,66.06,32.75,61.28,32.82
2003,rory_sabbatini,293.3,63.74,35.583333333333336,57.33,30.98
2003,scott_laycock,280.6,63.32,36.833333333333336,59.91,30.71
2003,scott_mccarron,294.6,63.51,36.916666666666664,59.21,33.48
2003,scott_verplank,275.5,67.42,32.166666666666664,60.57,32.62
2003,sergio_garcia,300.9,66.08,33.0,52.3,29.46
2003,shaun_micheel,288.9,68.79,34.583333333333336,57.01,28.68
