,full_name,season,masters_played,min,mean,prior_score,SG_per_round,driving_distance,driving_accuracy,greens_in_regulation,par_or_better_distance,scrambling,putting_rating,made_cut,top_10,total_score
70,billy_hurley_iii,2016,1,315.0,315.0,315.0,-4.3,277.7,0.6536,0.6271,18.009171274658918,0.6163000000000001,107.3,0,0,315.0
71,billy_mayfair,2002,4,288.0,302.5,315.0,-1.2,270.9,0.7345999999999999,0.6648999999999999,18.619546181365433,0.6108,192.4,1,0,296.0
72,billy_mayfair,2005,4,288.0,302.5,296.0,-1.2,288.2,0.6975,0.6949,18.934564147200337,0.5943999999999999,237.6,1,0,288.0
73,billy_mayfair,2006,4,288.0,302.5,288.0,-1.2,282.3,0.7014,0.6655,18.67054907542297,0.6042000000000001,173.7,1,0,311.0
74,billy_mayfair,2008,4,288.0,302.5,311.0,-1.2,284.0,0.7216,0.6812,17.636034134691393,0.6007,304.0,0,0,315.0
75,bo_van_pelt,2004,4,280.0,292.75,315.0,1.2,294.4,0.6515000000000001,0.6768000000000001,20.346666666666668,0.5835,106.8,0,0,315.0
76,bo_van_pelt,2010,4,280.0,292.75,315.0,1.2,292.0,0.6523,0.6923,19.205774594579047,0.6233,167.3,1,1,280.0
77,bo_van_pelt,2011,4,280.0,292.75,280.0,1.2,297.4,0.6359,0.6801999999999999,19.310311454562875,0.5869,261.5,1,0,287.0
78,bo_van_pelt,2012,4,280.0,292.75,287.0,1.2,296.1,0.6479,0.6707,19.27609443499037,0.5569,83.4,1,0,289.0
79,bob_estes,2002,2,292.0,293.5,315.0,1.1,279.8,0.705,0.7015,17.071332695486902,0.5964,239.0,1,0,292.0
80,bob_estes,2003,2,292.0,293.5,292.0,1.1,279.3,0.6868000000000001,0.6709,17.979978158588885,0.59,142.7,1,0,295.0
81,bob_tway,2003,1,292.0,292.0,315.0,1.4,288.8,0.6618999999999999,0.6973999999999999,18.945316043814106,0.5875,141.4,1,0,292.0
82,boo_weekley,2007,3,291.0,307.0,315.0,-2.3,296.6,0.6465000000000001,0.6586,18.061801716606237,0.5688,223.2,1,0,291.0
83,boo_weekley,2008,3,291.0,307.0,291.0,-2.3,291.7,0.6475,0.6787000000000001,18.18265840482812,0.5708,329.6,0,0,315.0
84,boo_weekley,2013,3,291.0,307.0,315.0,-2.3,290.9,0.6636,0.6939,17.993288621501815,0.5535,336.5,0,0,315.0
85,brad_faxon,2002,2,293.0,294.0,315.0,0.9,269.6,0.6781,0.6372,18.90626801192898,0.6144,88.4,1,0,293.0
86,brad_faxon,2003,2,293.0,294.0,293.0,0.9,276.6,0.5927,0.6265,20.041790713406826,0.6076,112.0,1,0,295.0
87,branden_grace,2016,3,287.0,290.3333333333333,315.0,1.8,295.6,0.5514,0.6676000000000001,18.661926481475593,0.5905,196.8,1,0,291.0
88,branden_grace,2017,3,287.0,290.3333333333333,291.0,1.8,292.0,0.5847,0.664,18.883392633769787,0.6142,292.3,1,0,287.0
89,branden_grace,2018,3,287.0,290.3333333333333,287.0,1.8,298.9,0.6349,0.6709999999999999,20.509561997598425,0.5778,184.8,1,0,293.0
90,brandt_jobe,2005,1,293.0,293.0,315.0,1.2,302.3,0.5729,0.6552,19.59071009999949,0.5657,145.1,1,0,293.0
91,brandt_snedeker,2007,10,284.0,296.0,315.0,0.4,285.6,0.598,0.6457999999999999,17.746852713932125,0.6118,71.3,1,1,284.0
92,brandt_snedeker,2008,10,284.0,296.0,284.0,0.4,280.8,0.6051,0.6335999999999999,18.51517485739738,0.5722,201.4,0,0,315.0
93,brandt_snedeker,2010,10,284.0,296.0,315.0,0.4,277.1,0.6426999999999999,0.6236,19.356097015324824,0.6119,61.6,1,0,284.0
94,brandt_snedeker,2011,10,284.0,296.0,284.0,0.4,287.2,0.6402,0.649,19.62655492778428,0.6145,83.4,1,0,288.0
95,brandt_snedeker,2012,10,284.0,296.0,288.0,0.4,288.7,0.605,0.6375,20.550824108239013,0.6208,70.0,1,1,284.0
96,brandt_snedeker,2013,10,284.0,296.0,284.0,0.4,281.3,0.6257,0.6568,18.994975943946628,0.6086,112.8,1,0,295.0
97,brandt_snedeker,2014,10,284.0,296.0,295.0,0.4,285.6,0.637,0.6328,19.44049190978573,0.5948,151.0,0,0,315.0
98,brandt_snedeker,2015,10,284.0,296.0,315.0,0.4,288.4,0.6098,0.6496999999999999,19.90315050437995,0.6327,97.1,1,1,289.0
99,brandt_snedeker,2016,10,284.0,296.0,289.0,0.4,292.6,0.5869,0.6567000000000001,19.93505949883828,0.6273,78.7,1,0,291.0
100,brandt_snedeker,2018,10,284.0,296.0,291.0,0.4,293.1,0.6279,0.6504000000000001,19.669089522367038,0.6008,127.7,0,0,315.0
101,brendan_steele,2011,3,291.0,307.0,315.0,-2.3,292.8,0.6483,0.6545000000000001,18.74464723594445,0.5453,166.5,0,0,315.0
102,brendan_steele,2016,3,291.0,307.0,315.0,-2.3,302.2,0.6029,0.6872,19.000661391997212,0.5476,241.4,1,0,291.0
103,brendan_steele,2017,3,291.0,307.0,291.0,-2.3,300.4,0.6288,0.6726000000000001,19.770376671930155,0.5899,233.8,0,0,315.0
104,brendon_de_jonge,2013,1,295.0,295.0,315.0,0.7,286.3,0.6628000000000001,0.6884,17.963752565931202,0.6256,192.6,1,0,295.0
105,brendon_todd,2014,1,315.0,315.0,315.0,-4.3,280.3,0.6485,0.6399,19.26534242493499,0.6357,54.2,0,0,315.0
106,brett_quigley,2006,1,306.0,306.0,315.0,-2.1,289.6,0.5885,0.6783,19.57958801064687,0.6184000000000001,80.5,1,0,306.0
107,brett_wetterich,2006,2,302.0,308.5,315.0,-2.7,307.8,0.6146,0.6781999999999999,19.680776859102327,0.5347,253.8,1,0,302.0
108,brett_wetterich,2007,2,302.0,308.5,302.0,-2.7,303.3,0.5815,0.6628000000000001,18.88407480524264,0.4886,356.7,0,0,315.0
109,brian_bateman,2007,1,291.0,291.0,315.0,1.7,291.6,0.5874,0.6133,19.334197681827924,0.5803,237.2,1,0,291.0
110,brian_gay,2009,2,292.0,303.5,315.0,-1.4,268.5,0.7223999999999999,0.6244,17.947554150914264,0.6479,38.6,0,0,315.0
111,brian_gay,2012,2,292.0,303.5,315.0,-1.4,277.7,0.621,0.6271,18.5070256929632,0.6437999999999999,89.3,1,0,292.0
112,brian_harman,2014,2,292.0,303.5,315.0,-1.4,289.0,0.6096,0.6426000000000001,18.16834388282114,0.5966,175.4,0,0,315.0
113,brian_harman,2017,2,292.0,303.5,315.0,-1.4,289.9,0.628,0.6378,20.35181871479795,0.6319,62.5,1,0,292.0
114,brian_stuard,2016,1,294.0,294.0,315.0,0.9,277.7,0.7106999999999999,0.633,17.801996142755076,0.6215999999999999,252.2,1,0,294.0
115,briny_baird,2003,2,315.0,315.0,315.0,-4.3,292.2,0.6842,0.7217,17.709431260081605,0.5952000000000001,222.8,0,0,315.0
116,briny_baird,2008,2,315.0,315.0,315.0,-4.3,285.2,0.6603,0.7,16.833541665377492,0.6243,310.2,0,0,315.0
117,brooks_koepka,2014,4,276.0,286.0,315.0,2.9,307.0,0.5690999999999999,0.6498,19.433610060922803,0.5751,174.9,1,0,288.0
118,brooks_koepka,2015,4,276.0,286.0,288.0,2.9,308.2,0.5733,0.6948000000000001,19.57202975194732,0.5663,103.8,1,0,293.0
